playerid,team,pos,eligibility,B/T,height,weight,grade,homestate,first,middle,last,suffix,jersey,homecity,school,draftstatus
1549196,VL,O,2022-06-07,R/R,71,170,4,TX,Jacob,,Terwilliger,,5,Fairview,Bucknell University, 
1557509,DN,I,2022-06-07,L/R,77,200,3,OH,Hank,,Thomas,,33,Oxford,Ohio State University, 
1569920,WN,I,2022-06-07,L/R,75,215,3,MA,Jack,,Thorbahn,,31,Hingham,Northeastern University, 
1549062,MV,O,2022-06-07,R/R,72,185,3,VA,Aiden,,Tierney,,3,Partlow,Mt State Mary's University, 
1606209,VL,P,2022-07-26,L/L,76,210,4,MA,David,,Tirrell,,0,Westfield,Wesleyan University, 
1556265,KN,I,2022-06-07,S/R,71,185,3,FL,Paxton,,Tomaini,,5,Crawfordville,Florida Southwestern State, 
1553748,DN,P,2022-06-07,R/R,75,205,2,CT,Julian,,Tonghini,,20,New Canaan,Boston College, 
1596113,MV,P,2022-06-10,R/R,73,238,4,FL,Alejandro,,Torres,,33,Miami,University of Miami, 
1555200,UV,I,2022-06-07,R/R,73,210,4,NY,Luca,,Trigiani,,19,Brooklyn,Saint Josephs University, 
1576830,NS,P,2022-06-07,R/R,73,190,3,MA,Todd,,Tringale,,34,Saugus,University of Dayton, 
1600677,VT,I,2022-07-03,R/R,73,195,4,PA,Mark,,Trotta,,11,Cranberry Township,College of William & Mary, 
1600532,SN,C,2022-07-23,L/R,74,230,4,MA,Ryan,,Turenne,,0,wilmington,University of Maine Orono, 
1583754,MY,P,2022-07-04,R/R,76,215,4,CT,Ken,,Turner,,34,North Stonington,Bryant University, 
1554613,BR,P,2022-06-07,L/L,76,210,2,NJ,Jackson,,Vanesko,,27,Ocean City,Bryant University, 
1551865,MY,P,2022-06-07,R/R,74,215,3,FL,Jonathan,,Velazquez,,42,Miami,Stetson University, 
1549371,VT,C,2022-06-07,L/R,72,205,2,MA,Matthew,,Venuto,,9,Mansfield,Fairfield University, 
1594622,NS,I,2022-06-07,R/R,70,185,3,NY,Max,,Viera,,7,Greenwood Lake,Seton Hall University, 
1551867,VL,P,2022-06-07,R/R,74,190,4,CT,Michael,,Volgende,,37,Ridgefield,Tufts University, 
1585234,UV,P,2022-06-07,R/R,68,175,3,GA,Austin,,Wainer,,1,Alpharetta,Bryant University, 
1606306,UV,P,2022-07-23,R/R,75,245,3,NY,Austin,,Walsh,,21,Stuyvesant,Rensselaer Polytechnic Inst, 
1601706,WN,P,2022-07-07,R/R,73,185,2,RI,Jackson,,Walsh,,23,Cumberland,Wheaton College, 
1572153,UV,I,2022-06-07,R/R,73,210,2,MA,Nicholas,,Wang,,16,Newton,Boston College, 
1582696,MV,P,2022-06-07,R/R,76,195,2,CO,Jacob,,Weaver,,16,Fruita,Austin Peay State University, 
1609629,VT,O,2022-07-26,L/R,71,190,4,VT,Tyler,,Wells,,49,Danville,University of New Haven, 
1600562,VL,P,2022-07-01,R/R,71,190,4,MA,Damon,,Wesley,,27,Springfield,Western New England College, 
1555246,KN,C,2022-06-07,L/R,73,205,4,NJ,Colin,,Wetterau,,17,Medford,Saint Johns University, 
1592324,MY,P,2022-06-07,L/R,74,180,3,CT,Brandon,,White,,38,Simsbury,Southern New Hampshire University, 
1548180,DN,O,2022-06-07,L/L,74,185,2,FL,Jermaine,,White,,40,Brandon,Saint Johns University, 
1556808,MV,P,2022-06-13,R/R,76,235,3,KY,Benjamin,,Wiegman,,8,Louisville,University of Louisville, 
1598730,MV,P,2022-06-21,R/R,75,205,3,CA,Joseph,,Williams,,2,La Mesa,Pomona-Pitzer College, 
1555199,UV,P,2022-06-07,L/R,81,230,2,TN,Patrick,,Williams,,29,Cleveland,Lipscomb University, 
1601489,NS,C,2022-07-06,R/R,70,185,4,NH,Robert,,Wirtanen,,41,Brentwood,Wheaton College, 
1548790,MV,O,2022-06-07,L/R,73,200,4,RI,Matt,,Woods,,4,Warwick,Bryant University, 
1576857,WN,P,2022-06-07,L/R,76,225,4,NH,Griffin,,Young,,37,Milton,Northeastern University, 
1555797,NA,P,2022-06-07,R/R,75,190,3,NY,Cole,,Zaffiro,,48,Manhasset,University of Pennsylvania, 
1603666,MY,P,2022-07-15,L/R,75,180,4,CT,Robert,,Zawacki,,16,Waterford,Western New England College, 
1606088,DN,P,2022-07-21,L/L,73,200,4,NJ,Jude,,Zern,,17,Wyckoff,Saint Johns University, 
